"행정구역","2020년03월_계_총인구수","2020년03월_계_연령구간인구수","2020년03월_계_10~19세","2020년03월_계_20~29세","2020년03월_계_30~39세","2020년03월_계_40~49세","2020년03월_계_50~59세","2020년03월_계_60~69세","2020년03월_계_70~79세","2020년03월_계_80~89세","2020년03월_계_90~99세","2020년03월_계_100세 이상","2020년03월_남_총인구수","2020년03월_남_연령구간인구수","2020년03월_남_10~19세","2020년03월_남_20~29세","2020년03월_남_30~39세","2020년03월_남_40~49세","2020년03월_남_50~59세","2020년03월_남_60~69세","2020년03월_남_70~79세","2020년03월_남_80~89세","2020년03월_남_90~99세","2020년03월_남_100세 이상","2020년03월_여_총인구수","2020년03월_여_연령구간인구수","2020년03월_여_10~19세","2020년03월_여_20~29세","2020년03월_여_30~39세","2020년03월_여_40~49세","2020년03월_여_50~59세","2020년03월_여_60~69세","2020년03월_여_70~79세","2020년03월_여_80~89세","2020년03월_여_90~99세","2020년03월_여_100세 이상"
"경상남도 창원시 진해구 웅천동(4812963000)","12,377","10,589","901","1,270","2,501","1,944","1,692","1,307","617","318","38","1","6,303","5,343","440","660","1,274","1,045","866","674","268","106","10","0","6,074","5,246","461","610","1,227","899","826","633","349","212","28","1"
"경상남도 창원시 진해구 웅동1동(4812964000)","6,579","5,990","722","599","754","1,130","1,123","943","443","239","37","0","3,367","3,057","364","342","386","611","598","481","199","68","8","0","3,212","2,933","358","257","368","519","525","462","244","171","29","0"
"경상남도 창원시 진해구 웅동2동(4812965000)","38,068","33,670","4,986","3,812","6,272","8,534","5,087","3,056","1,387","474","61","1","20,475","18,246","2,608","2,170","3,399","4,772","2,938","1,511","666","172","9","1","17,593","15,424","2,378","1,642","2,873","3,762","2,149","1,545","721","302","52","0"
"경상남도 진주시 (4817000000)","347,546","318,287","35,994","44,803","42,311","54,916","57,895","43,494","25,212","11,904","1,668","90","172,040","156,790","18,987","24,706","21,485","27,395","28,514","20,831","10,952","3,585","314","21","175,506","161,497","17,007","20,097","20,826","27,521","29,381","22,663","14,260","8,319","1,354","69"
"경상남도 진주시 문산읍(4817025000)","8,447","7,784","694","868","983","1,103","1,473","1,338","800","448","74","3","4,273","3,912","370","494","513","587","774","706","335","120","13","0","4,174","3,872","324","374","470","516","699","632","465","328","61","3"
"경상남도 진주시 내동면(4817031000)","4,217","3,812","480","406","447","702","684","560","327","181","22","3","2,106","1,887","234","217","216","345","366","296","158","51","3","1","2,111","1,925","246","189","231","357","318","264","169","130","19","2"
"경상남도 진주시 정촌면(4817032000)","7,059","6,250","428","890","1,329","960","1,099","834","435","227","44","4","3,627","3,209","235","495","707","522","528","456","199","61","6","0","3,432","3,041","193","395","622","438","571","378","236","166","38","4"
"경상남도 진주시 금곡면(4817033000)","2,303","2,254","122","168","146","188","413","456","420","291","50","0","1,087","1,063","64","99","87","118","224","226","156","82","7","0","1,216","1,191","58","69","59","70","189","230","264","209","43","0"
"경상남도 진주시 진성면(4817035000)","1,982","1,935","68","143","131","169","374","461","302","251","34","2","963","941","34","78","75","104","205","231","129","76","9","0","1,019","994","34","65","56","65","169","230","173","175","25","2"
"경상남도 진주시 일반성면(4817036000)","2,672","2,566","196","227","202","316","497","485","370","244","28","1","1,301","1,248","102","138","96","186","263","248","151","57","6","1","1,371","1,318","94","89","106","130","234","237","219","187","22","0"
"경상남도 진주시 이반성면(4817037000)","1,641","1,611","55","78","79","120","299","385","326","235","34","0","822","802","37","52","50","77","178","206","131","64","7","0","819","809","18","26","29","43","121","179","195","171","27","0"
"경상남도 진주시 사봉면(4817038000)","1,526","1,494","50","86","78","157","235","341","310","215","22","0","758","744","29","53","45","115","129","173","138","59","3","0","768","750","21","33","33","42","106","168","172","156","19","0"
"경상남도 진주시 지수면(4817039000)","1,494","1,457","78","110","75","160","254","294","260","186","39","1","749","734","37","71","48","107","147","145","128","45","6","0","745","723","41","39","27","53","107","149","132","141","33","1"
"경상남도 진주시 대곡면(4817040000)","3,340","3,262","165","234","188","314","599","655","617","422","65","3","1,656","1,610","94","150","103","202","338","322","268","118","14","1","1,684","1,652","71","84","85","112","261","333","349","304","51","2"
"경상남도 진주시 금산면(4817041000)","21,633","19,285","2,913","2,310","2,619","3,991","3,384","2,260","1,144","583","79","2","10,861","9,627","1,542","1,341","1,281","1,969","1,682","1,093","522","185","12","0","10,772","9,658","1,371","969","1,338","2,022","1,702","1,167","622","398","67","2"
"경상남도 진주시 집현면(4817042000)","4,844","4,556","421","448","424","684","882","784","548","316","48","1","2,415","2,271","219","254","217","374","481","402","223","94","7","0","2,429","2,285","202","194","207","310","401","382","325","222","41","1"
"경상남도 진주시 미천면(4817043000)","1,658","1,639","66","93","64","134","310","351","336","250","34","1","807","799","40","55","39","86","175","195","138","64","7","0","851","840","26","38","25","48","135","156","198","186","27","1"
"경상남도 진주시 명석면(4817044000)","4,161","4,002","215","380","268","445","809","933","572","329","49","2","2,072","1,993","115","206","156","248","424","480","254","100","9","1","2,089","2,009","100","174","112","197","385","453","318","229","40","1"
"경상남도 진주시 대평면(4817045000)","1,114","1,087","53","112","56","108","203","232","169","127","25","2","535","524","28","64","26","63","111","127","70","30","5","0","579","563","25","48","30","45","92","105","99","97","20","2"
"경상남도 진주시 수곡면(4817046000)","2,248","2,192","110","148","110","240","423","465","383","286","26","1","1,089","1,057","62","74","57","160","241","240","142","75","6","0","1,159","1,135","48","74","53","80","182","225","241","211","20","1"
"경상남도 진주시 천전동(4817051500)","28,347","26,634","2,682","4,297","2,847","4,181","4,680","3,913","2,706","1,151","161","16","13,930","13,042","1,489","2,357","1,494","2,071","2,280","1,738","1,189","381","37","6","14,417","13,592","1,193","1,940","1,353","2,110","2,400","2,175","1,517","770","124","10"
"경상남도 진주시 성북동(4817055500)","11,014","10,491","776","1,443","1,337","1,624","1,859","1,825","1,085","470","66","6","5,439","5,159","417","759","725","857","892","830","500","166","12","1","5,575","5,332","359","684","612","767","967","995","585","304","54","5"
"경상남도 진주시 중앙동(4817056500)","11,709","11,295","705","1,185","947","1,484","2,111","2,393","1,708","658","89","15","5,701","5,474","390","679","549","824","1,048","1,061","708","190","23","2","6,008","5,821","315","506","398","660","1,063","1,332","1,000","468","66","13"
